Producent;Typer;Koder;KodeBeskrivelser;Fejl;Prioritering;Løsningsforslag;Varenumer prioritet 1;Varenummer prioritet 2;Varenummer prioritet 3;Koder (service - resultet);KodeBeskrivelser (service);Fejl (service);Spørgsmål 1;Spørgsmål 2;Spørgsmål 3;Kunden kan prøve;Send tekniker ja / nej;URL-links;URL-links_Kundeserviceinformationer;;;;;;;;;
Carimali;Touch;Dripfray full.;Maskine er ude af drift;Spildbakke sensorerne registrere væske.;1;Afløbet virker ikke optimalt / snavs i spildbakken.;;;;Dripfray full.;Dripfray full.;Spildbakke sensorerne registrere væske.;;;;Kunde kan tømme drypbakken og aftør sensorerne i drypbakken (metalplader).;;;;;;;;;;;;
Carimali;Touch;Dripfray full.;Maskine er ude af drift;Spildbakke sensorerne registrere væske.;2;Kontroler at afløbsslangen kan få luft.;;;;Dripfray full.;Dripfray full.;Spildbakke sensorerne registrere væske.;;;;Kunde kan tømme drypbakken og aftør sensorerne i drypbakken (metalplader).;;;;;;;;;;;;
Carimali;Touch;Drip tray out;Maskine er ude af drift;Spildbakke sensorerne registreres ikke.;1;Kontroller følerne for drypbakken.;;;;Drip tray out;Drip tray out;Spildbakke sensorerne registreres ikke.;;;;Kunden skal kontrollere at der ikke er noget der blokere for at spildbakken kan skubbes helt på plads.;;;;;;;;;;;;
Carimali;Touch;Grounds bin open;Maskine er ude af drift;Grumseskuffen registreres ikke.;1;Kontroller sensoren for grumseskuffen.;;;;Grounds bin open;Grounds bin open;Grumseskuffen registreres ikke.;;;;Kunden skal kontrollere at der ikke er noget der blokere for at grumseskuffen kan skubbes helt på plads.;;;;;;;;;;;;
Carimali;Touch;Open door;Maskine er ude af drift;Dørkontakten registrere at døren er åben.;1;Kontroller dørkontakten.;;;;Open door;Open door;Dørkontakten registrere at døren er åben.;;;;Kunden skal kontrollere at der ikke er noget der blokere for at døren kan slukkes helt.;;;;;;;;;;;;
Carimali;Touch;Missing Beans.;Brugerfejl / Komponentfejl;Der kommer for lidt formalet kaffe ned i bryggeren.;1;Kontroller at der ikke er lukket for bønnebeholderen.;;;;Missing Beans.;Missing Beans.;Der kommer for lidt formalet kaffe ned i bryggeren.;;;;Kunden kan efterse om der er bønner i beholderen og om der er åbent for bønnebeholderen.;;;;;;;;;;;;
Carimali;Touch;Missing Beans.;Brugerfejl / Komponentfejl;Der kommer for lidt formalet kaffe ned i bryggeren.;2;Eftergå at formalingsgraden er indstillet korrekt.;;;;Missing Beans.;Missing Beans.;Der kommer for lidt formalet kaffe ned i bryggeren.;;;;Kunden kan efterse om der er bønner i beholderen og om der er åbent for bønnebeholderen.;;;;;;;;;;;;
Carimali;Touch;Missing Beans.;Brugerfejl / Komponentfejl;Der kommer for lidt formalet kaffe ned i bryggeren.;3;"Kontroller at ""Jumperen"" på hovedprintet er placeret korrekt.";;;;Missing Beans.;Missing Beans.;Der kommer for lidt formalet kaffe ned i bryggeren.;;;;Kunden kan efterse om der er bønner i beholderen og om der er åbent for bønnebeholderen.;;;;;;;;;;;;
Carimali;Touch;Missing Beans.;Brugerfejl / Komponentfejl;Der kommer for lidt formalet kaffe ned i bryggeren.;4;Defekt kværn.;105608;;;Missing Beans.;Missing Beans.;Der kommer for lidt formalet kaffe ned i bryggeren.;;;;Kunden kan efterse om der er bønner i beholderen og om der er åbent for bønnebeholderen.;;;;;;;;;;;;
Carimali;Touch;H Motor Puls 10.;Komponentfejl;Topmotorencoderen modtager ikke det korrekte antal impulser fra det øjeblik, hvor motoren stoppede.;1;Efterse om pistonmotoren bliver blokeret.;;;;H Motor Puls 10.;H Motor Puls 10.;Topmotorencoderen modtager ikke det korrekte antal impulser fra det øjeblik, hvor motoren stoppede.;;;;"Kunden kan efterse om kaffebryggeren bliver blokeret. Henvis til hjælp til selvhjælp rengøringsvideo ""Rengøring af Carimali Armonia Soft Plus LM"".";;;https://www.bentax.dk/hjaelp-til-selvhjaelp/;;;;;;;;;
Carimali;Touch;H Motor Puls 10.;Komponentfejl;Topmotorencoderen modtager ikke det korrekte antal impulser fra det øjeblik, hvor motoren stoppede.;2;Kontroller ledningsnetværket for pistonmotoren, og at pistonmotoren modtager strøm.;;;;H Motor Puls 10.;H Motor Puls 10.;Topmotorencoderen modtager ikke det korrekte antal impulser fra det øjeblik, hvor motoren stoppede.;;;;"Kunden kan efterse om kaffebryggeren bliver blokeret. Henvis til hjælp til selvhjælp rengøringsvideo ""Rengøring af Carimali Armonia Soft Plus LM"".";;;https://www.bentax.dk/hjaelp-til-selvhjaelp/;;;;;;;;;
Carimali;Touch;H Motor Puls 10.;Komponentfejl;Topmotorencoderen modtager ikke det korrekte antal impulser fra det øjeblik, hvor motoren stoppede.;3;Skift pistonmotoren.;105841;;;H Motor Puls 10.;H Motor Puls 10.;Topmotorencoderen modtager ikke det korrekte antal impulser fra det øjeblik, hvor motoren stoppede.;;;;"Kunden kan efterse om kaffebryggeren bliver blokeret. Henvis til hjælp til selvhjælp rengøringsvideo ""Rengøring af Carimali Armonia Soft Plus LM"".";;;https://www.bentax.dk/hjaelp-til-selvhjaelp/;;;;;;;;;
Carimali;Touch;H Motor Puls 10.;Komponentfejl;Topmotorencoderen modtager ikke det korrekte antal impulser fra det øjeblik, hvor motoren stoppede.;4;Eftergå hovedprintet for skader.;9600841;;;H Motor Puls 10.;H Motor Puls 10.;Topmotorencoderen modtager ikke det korrekte antal impulser fra det øjeblik, hvor motoren stoppede.;;;;"Kunden kan efterse om kaffebryggeren bliver blokeret. Henvis til hjælp til selvhjælp rengøringsvideo ""Rengøring af Carimali Armonia Soft Plus LM"".";;;https://www.bentax.dk/hjaelp-til-selvhjaelp/;;;;;;;;;
Carimali;Touch;L Moror Puls 11.;Komponentfejl;Den nedereste motorencoder modtager ikke det korrekte antal impulser fra det øjeblik, hvor motoren stoppede.;1;Efterse om pistonmotoren bliver blokeret.;;;;L Moror Puls 11.;L Moror Puls 11.;Den nedereste motorencoder modtager ikke det korrekte antal impulser fra det øjeblik, hvor motoren stoppede.;;;;"Kunden kan efterse om kaffebryggeren bliver blokeret. Henvis til hjælp til selvhjælp rengøringsvideo ""Rengøring af Carimali Armonia Soft Plus LM"".";;;https://www.bentax.dk/hjaelp-til-selvhjaelp/;;;;;;;;;
Carimali;Touch;L Moror Puls 11.;Komponentfejl;Den nedereste motorencoder modtager ikke det korrekte antal impulser fra det øjeblik, hvor motoren stoppede.;2;Kontroller ledningsnetværket for pistonmotoren, og at pistonmotoren modtager strøm.;;;;L Moror Puls 11.;L Moror Puls 11.;Den nedereste motorencoder modtager ikke det korrekte antal impulser fra det øjeblik, hvor motoren stoppede.;;;;"Kunden kan efterse om kaffebryggeren bliver blokeret. Henvis til hjælp til selvhjælp rengøringsvideo ""Rengøring af Carimali Armonia Soft Plus LM"".";;;https://www.bentax.dk/hjaelp-til-selvhjaelp/;;;;;;;;;
Carimali;Touch;L Moror Puls 11.;Komponentfejl;Den nedereste motorencoder modtager ikke det korrekte antal impulser fra det øjeblik, hvor motoren stoppede.;3;Skift pistonmotoren.;105841;;;L Moror Puls 11.;L Moror Puls 11.;Den nedereste motorencoder modtager ikke det korrekte antal impulser fra det øjeblik, hvor motoren stoppede.;;;;"Kunden kan efterse om kaffebryggeren bliver blokeret. Henvis til hjælp til selvhjælp rengøringsvideo ""Rengøring af Carimali Armonia Soft Plus LM"".";;;https://www.bentax.dk/hjaelp-til-selvhjaelp/;;;;;;;;;
Carimali;Touch;L Moror Puls 11.;Komponentfejl;Den nedereste motorencoder modtager ikke det korrekte antal impulser fra det øjeblik, hvor motoren stoppede.;4;Eftergå hovedprintet for skader.;9600841;;;L Moror Puls 11.;L Moror Puls 11.;Den nedereste motorencoder modtager ikke det korrekte antal impulser fra det øjeblik, hvor motoren stoppede.;;;;"Kunden kan efterse om kaffebryggeren bliver blokeret. Henvis til hjælp til selvhjælp rengøringsvideo ""Rengøring af Carimali Armonia Soft Plus LM"".";;;https://www.bentax.dk/hjaelp-til-selvhjaelp/;;;;;;;;;
Carimali;Touch;H Motor Error 12.;Komponentfejl;"Mekanisk fejl på motoren eller toppistonen.
Encoderen på motoren læser ikke positionen korrekt";1;Efterse om pistonmotoren bliver blokeret.;;;;H Motor Error 12.;H Motor Error 12.;"Mekanisk fejl på motoren eller toppistonen.
Encoderen på motoren læser ikke positionen korrekt";;;;"Kunden kan efterse om kaffebryggeren bliver blokeret. Henvis til hjælp til selvhjælp rengøringsvideo ""Rengøring af Carimali Armonia Soft Plus LM"".";;;https://www.bentax.dk/hjaelp-til-selvhjaelp/;;;;;;;;;
Carimali;Touch;H Motor Error 12.;Komponentfejl;"Mekanisk fejl på motoren eller toppistonen.
Encoderen på motoren læser ikke positionen korrekt";2;Kontroller ledningsnetværket for pistonmotoren, og at pistonmotoren modtager strøm.;;;;H Motor Error 12.;H Motor Error 12.;"Mekanisk fejl på motoren eller toppistonen.
Encoderen på motoren læser ikke positionen korrekt";;;;"Kunden kan efterse om kaffebryggeren bliver blokeret. Henvis til hjælp til selvhjælp rengøringsvideo ""Rengøring af Carimali Armonia Soft Plus LM"".";;;https://www.bentax.dk/hjaelp-til-selvhjaelp/;;;;;;;;;
Carimali;Touch;H Motor Error 12.;Komponentfejl;"Mekanisk fejl på motoren eller toppistonen.
Encoderen på motoren læser ikke positionen korrekt";3;Skift pistonmotoren.;105841;;;H Motor Error 12.;H Motor Error 12.;"Mekanisk fejl på motoren eller toppistonen.
Encoderen på motoren læser ikke positionen korrekt";;;;"Kunden kan efterse om kaffebryggeren bliver blokeret. Henvis til hjælp til selvhjælp rengøringsvideo ""Rengøring af Carimali Armonia Soft Plus LM"".";;;https://www.bentax.dk/hjaelp-til-selvhjaelp/;;;;;;;;;
Carimali;Touch;H Motor Error 12.;Komponentfejl;"Mekanisk fejl på motoren eller toppistonen.
Encoderen på motoren læser ikke positionen korrekt";4;Eftergå hovedprintet for skader.;9600841;;;H Motor Error 12.;H Motor Error 12.;"Mekanisk fejl på motoren eller toppistonen.
Encoderen på motoren læser ikke positionen korrekt";;;;"Kunden kan efterse om kaffebryggeren bliver blokeret. Henvis til hjælp til selvhjælp rengøringsvideo ""Rengøring af Carimali Armonia Soft Plus LM"".";;;https://www.bentax.dk/hjaelp-til-selvhjaelp/;;;;;;;;;
Carimali;Touch;L Motor Error 13.;Komponentfejl;"Mekanisk fejl på motoren eller nedereste piston.
Encoderen på motoren læser ikke positionen korrekt";1;Efterse om pistonmotoren bliver blokeret.;;;;L Motor Error 13.;L Motor Error 13.;"Mekanisk fejl på motoren eller nedereste piston.
Encoderen på motoren læser ikke positionen korrekt";;;;"Kunden kan efterse om kaffebryggeren bliver blokeret. Henvis til hjælp til selvhjælp rengøringsvideo ""Rengøring af Carimali Armonia Soft Plus LM"".";;;https://www.bentax.dk/hjaelp-til-selvhjaelp/;;;;;;;;;
Carimali;Touch;L Motor Error 13.;Komponentfejl;"Mekanisk fejl på motoren eller nedereste piston.
Encoderen på motoren læser ikke positionen korrekt";2;Kontroller ledningsnetværket for pistonmotoren, og at pistonmotoren modtager strøm.;;;;L Motor Error 13.;L Motor Error 13.;"Mekanisk fejl på motoren eller nedereste piston.
Encoderen på motoren læser ikke positionen korrekt";;;;"Kunden kan efterse om kaffebryggeren bliver blokeret. Henvis til hjælp til selvhjælp rengøringsvideo ""Rengøring af Carimali Armonia Soft Plus LM"".";;;https://www.bentax.dk/hjaelp-til-selvhjaelp/;;;;;;;;;
Carimali;Touch;L Motor Error 13.;Komponentfejl;"Mekanisk fejl på motoren eller nedereste piston.
Encoderen på motoren læser ikke positionen korrekt";3;Skift pistonmotoren.;105841;;;L Motor Error 13.;L Motor Error 13.;"Mekanisk fejl på motoren eller nedereste piston.
Encoderen på motoren læser ikke positionen korrekt";;;;"Kunden kan efterse om kaffebryggeren bliver blokeret. Henvis til hjælp til selvhjælp rengøringsvideo ""Rengøring af Carimali Armonia Soft Plus LM"".";;;https://www.bentax.dk/hjaelp-til-selvhjaelp/;;;;;;;;;
Carimali;Touch;L Motor Error 13.;Komponentfejl;"Mekanisk fejl på motoren eller nedereste piston.
Encoderen på motoren læser ikke positionen korrekt";4;Eftergå hovedprintet for skader.;9600841;;;L Motor Error 13.;L Motor Error 13.;"Mekanisk fejl på motoren eller nedereste piston.
Encoderen på motoren læser ikke positionen korrekt";;;;"Kunden kan efterse om kaffebryggeren bliver blokeret. Henvis til hjælp til selvhjælp rengøringsvideo ""Rengøring af Carimali Armonia Soft Plus LM"".";;;https://www.bentax.dk/hjaelp-til-selvhjaelp/;;;;;;;;;
Carimali;Touch;Too Much Coffee 15.;Indstillingsfejl / Komponentfejl;Der kommer for meget kaffe i bryggeren.;1;Kontroller at toppistonen ikke er blokeret af snavs.;;;;Too Much Coffee 15.;Too Much Coffee 15.;Der kommer for meget kaffe i bryggeren.;;;;;;;;;;;;;;;;
Carimali;Touch;Too Much Coffee 15.;Indstillingsfejl / Komponentfejl;Der kommer for meget kaffe i bryggeren.;2;Eftergå at formalingsgraden er indstillet korrekt.;;;;Too Much Coffee 15.;Too Much Coffee 15.;Der kommer for meget kaffe i bryggeren.;;;;;;;;;;;;;;;;
Carimali;Touch;Too Much Coffee 15.;Indstillingsfejl / Komponentfejl;Der kommer for meget kaffe i bryggeren.;3;Kontroller produktindstillingen for produkterne.;;;;Too Much Coffee 15.;Too Much Coffee 15.;Der kommer for meget kaffe i bryggeren.;;;;;;;;;;;;;;;;
Carimali;Touch;Too Much Coffee 15.;Indstillingsfejl / Komponentfejl;Der kommer for meget kaffe i bryggeren.;4;Test om toppistonen har fuld mobilitet inde i systemet, skift encoderen på motoren om nødvendigt.;;;;Too Much Coffee 15.;Too Much Coffee 15.;Der kommer for meget kaffe i bryggeren.;;;;;;;;;;;;;;;;
Carimali;Touch;Filling up T.O 32.;Flowfejl / Sensorfejl;Opvarmningsfasen af boileren er overskredet grænseværdien på 2 minutter, eller vandniveauet har ikke nået niveausensoren (SLC).;1;Efterse om der er åbent for vandet - kommer der vand ud af vandfilteret?;;;;Filling up T.O 32.;Filling up T.O 32.;Opvarmningsfasen af boileren er overskredet grænseværdien på 2 minutter, eller vandniveauet har ikke nået niveausensoren (SLC).;;;;Kunden skal kontrollere, om vandforsyningen til maskinen er åben. Er der åbent for hanen / ballofixen?;;;https://bentax.sharepoint.com/:b:/g/EebCJZh73CtBjL6VWwIrptMBR1XmPSyS6qdrKKxB5fM4ig?e=LIqx9Z;;;;;;;;;
Carimali;Touch;Filling up T.O 32.;Flowfejl / Sensorfejl;Opvarmningsfasen af boileren er overskredet grænseværdien på 2 minutter, eller vandniveauet har ikke nået niveausensoren (SLC).;2;Kontroller om der er en mekanisk blokering af indgangsventilen.;9605108;;;Filling up T.O 32.;Filling up T.O 32.;Opvarmningsfasen af boileren er overskredet grænseværdien på 2 minutter, eller vandniveauet har ikke nået niveausensoren (SLC).;;;;Kunden skal kontrollere, om vandforsyningen til maskinen er åben. Er der åbent for hanen / ballofixen?;;;https://bentax.sharepoint.com/:b:/g/EebCJZh73CtBjL6VWwIrptMBR1XmPSyS6qdrKKxB5fM4ig?e=LIqx9Z;;;;;;;;;
Carimali;Touch;Filling up T.O 32.;Flowfejl / Sensorfejl;Opvarmningsfasen af boileren er overskredet grænseværdien på 2 minutter, eller vandniveauet har ikke nået niveausensoren (SLC).;3;Kontroller at indgangsventilen  bliver tilført 24V. Skift indgangsventil om nødvendigt.;9605108;;;Filling up T.O 32.;Filling up T.O 32.;Opvarmningsfasen af boileren er overskredet grænseværdien på 2 minutter, eller vandniveauet har ikke nået niveausensoren (SLC).;;;;Kunden skal kontrollere, om vandforsyningen til maskinen er åben. Er der åbent for hanen / ballofixen?;;;https://bentax.sharepoint.com/:b:/g/EebCJZh73CtBjL6VWwIrptMBR1XmPSyS6qdrKKxB5fM4ig?e=LIqx9Z;;;;;;;;;
Carimali;Touch;Filling up T.O 32.;Flowfejl / Sensorfejl;Opvarmningsfasen af boileren er overskredet grænseværdien på 2 minutter, eller vandniveauet har ikke nået niveausensoren (SLC).;4;Efterse om niveauføleren er snavset, og om der er defekter på ledningsnetværket for sensoren. Skift niveauføler om nødvendigt.;9600684;;;Filling up T.O 32.;Filling up T.O 32.;Opvarmningsfasen af boileren er overskredet grænseværdien på 2 minutter, eller vandniveauet har ikke nået niveausensoren (SLC).;;;;Kunden skal kontrollere, om vandforsyningen til maskinen er åben. Er der åbent for hanen / ballofixen?;;;https://bentax.sharepoint.com/:b:/g/EebCJZh73CtBjL6VWwIrptMBR1XmPSyS6qdrKKxB5fM4ig?e=LIqx9Z;;;;;;;;;
Carimali;Touch;Filling up T.O 32.;Flowfejl / Sensorfejl;Opvarmningsfasen af boileren er overskredet grænseværdien på 2 minutter, eller vandniveauet har ikke nået niveausensoren (SLC).;5;Kontroller flowmeteret for blokering. Skift flowmeteret om nødvendigt.;9505271;;;Filling up T.O 32.;Filling up T.O 32.;Opvarmningsfasen af boileren er overskredet grænseværdien på 2 minutter, eller vandniveauet har ikke nået niveausensoren (SLC).;;;;Kunden skal kontrollere, om vandforsyningen til maskinen er åben. Er der åbent for hanen / ballofixen?;;;https://bentax.sharepoint.com/:b:/g/EebCJZh73CtBjL6VWwIrptMBR1XmPSyS6qdrKKxB5fM4ig?e=LIqx9Z;;;;;;;;;
Carimali;Touch;Filling up T.O 32.;Flowfejl / Sensorfejl;Opvarmningsfasen af boileren er overskredet grænseværdien på 2 minutter, eller vandniveauet har ikke nået niveausensoren (SLC).;6;Kontroller om vandpumperne fungere. Skift vandpumpebund om nødvendigt.;108082;;;Filling up T.O 32.;Filling up T.O 32.;Opvarmningsfasen af boileren er overskredet grænseværdien på 2 minutter, eller vandniveauet har ikke nået niveausensoren (SLC).;;;;Kunden skal kontrollere, om vandforsyningen til maskinen er åben. Er der åbent for hanen / ballofixen?;;;https://bentax.sharepoint.com/:b:/g/EebCJZh73CtBjL6VWwIrptMBR1XmPSyS6qdrKKxB5fM4ig?e=LIqx9Z;;;;;;;;;
Carimali;Touch;Coffee Heater T.O. 33.;Komponentfejl;Maskinen er forlænge om at opvarme boileren.;1;Defekt tørkogningssikring.;9605300;;;Coffee Heater T.O. 33.;Coffee Heater T.O. 33.;Maskinen er forlænge om at opvarme boileren.;;;;Kunden kan desværre ikke gøre noget.;;;;;;;;;;;;
Carimali;Touch;Coffee Heater T.O. 33.;Komponentfejl;Maskinen er forlænge om at opvarme boileren.;2;Defekt varmelegeme ;9605296;;;Coffee Heater T.O. 33.;Coffee Heater T.O. 33.;Maskinen er forlænge om at opvarme boileren.;;;;Kunden kan desværre ikke gøre noget.;;;;;;;;;;;;
Carimali;Touch;Steam Heat T.O. 34.;Komponentfejl;Maskinen er forlænge om at varme Steameren op.;1;Defekt tørkogningssikring.;9605300;;;Steam Heat T.O. 34.;Steam Heat T.O. 34.;Maskinen er forlænge om at varme Steameren op.;;;;Kunden kan desværre ikke gøre noget.;;;;;;;;;;;;
Carimali;Touch;Steam Heat T.O. 34.;Komponentfejl;Maskinen er forlænge om at varme Steameren op.;2;Defekt varmelegeme ;9605296;;;Steam Heat T.O. 34.;Steam Heat T.O. 34.;Maskinen er forlænge om at varme Steameren op.;;;;Kunden kan desværre ikke gøre noget.;;;;;;;;;;;;
Carimali;Touch;Check Flow Line 35.;Komponentfejl;Der er en utæthed i kaffens hydrauliske kredsløb.;1;Utæt expansionsventil ;9700125;;;Check Flow Line 35.;Check Flow Line 35.;Der er en utæthed i kaffens hydrauliske kredsløb.;;;;Kan kunden fortælle om de kan se utætheder omkring maskinen?;;;;;;;;;;;;
Carimali;Touch;Check Flow Line 35.;Komponentfejl;Der er en utæthed i kaffens hydrauliske kredsløb.;2;Utæt bypass- / brygventil ;9501176;;;Check Flow Line 35.;Check Flow Line 35.;Der er en utæthed i kaffens hydrauliske kredsløb.;;;;Kan kunden fortælle om de kan se utætheder omkring maskinen?;;;;;;;;;;;;
Carimali;Touch;Check Flow Line 35.;Komponentfejl;Der er en utæthed i kaffens hydrauliske kredsløb.;3;Utæt kontraventil.;;;;Check Flow Line 35.;Check Flow Line 35.;Der er en utæthed i kaffens hydrauliske kredsløb.;;;;Kan kunden fortælle om de kan se utætheder omkring maskinen?;;;;;;;;;;;;
Carimali;Touch;Coffee Temperat. 37.;Sensorfejl / Temperaturfejl;Kaffeboilerens temperatur har nået en værdi på 105 grader (maks. grænsen) eller derover.;1;Kontroller at thermosikringerne er korrekte (120°C).;9501738;;;Coffee Temperat. 37.;Coffee Temperat. 37.;Kaffeboilerens temperatur har nået en værdi på 105 grader (maks. grænsen) eller derover.;;;;Kunden kan desværre ikke gøre noget.;;;;;;;;;;;;
Carimali;Touch;Coffee Temperat. 37.;Sensorfejl / Temperaturfejl;Kaffeboilerens temperatur har nået en værdi på 105 grader (maks. grænsen) eller derover.;2;Skift temperaturføleren (NTC).;9605360;;;Coffee Temperat. 37.;Coffee Temperat. 37.;Kaffeboilerens temperatur har nået en værdi på 105 grader (maks. grænsen) eller derover.;;;;Kunden kan desværre ikke gøre noget.;;;;;;;;;;;;
Carimali;Touch;Coffee Temperat. 37.;Sensorfejl / Temperaturfejl;Kaffeboilerens temperatur har nået en værdi på 105 grader (maks. grænsen) eller derover.;3;Udskift TRIAC.;9600843;;;Coffee Temperat. 37.;Coffee Temperat. 37.;Kaffeboilerens temperatur har nået en værdi på 105 grader (maks. grænsen) eller derover.;;;;Kunden kan desværre ikke gøre noget.;;;;;;;;;;;;
Carimali;Touch;Coffee Temperat. 37.;Sensorfejl / Temperaturfejl;Kaffeboilerens temperatur har nået en værdi på 105 grader (maks. grænsen) eller derover.;4;Kontroller at vandtilførslen til steamboileren har fuld gennemgang.;1605067;;;Coffee Temperat. 37.;Coffee Temperat. 37.;Kaffeboilerens temperatur har nået en værdi på 105 grader (maks. grænsen) eller derover.;;;;Kunden kan desværre ikke gøre noget.;;;;;;;;;;;;
Carimali;Touch;Steam Temperat. 38.;Sensorfejl / Temperaturfejl;Steamboilerens temperatur har nået en værdi på 129 grader (maks. grænsen) eller derover.;1;Kontroller at thermosikringerne er korrekte (145°C).;9501709;;;Steam Temperat. 38.;Steam Temperat. 38.;Steamboilerens temperatur har nået en værdi på 129 grader (maks. grænsen) eller derover.;;;;Kunden kan desværre ikke gøre noget.;;;;;;;;;;;;
